"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 29 12:51:00 PST 2019","Sun Dec 29 12:51:01 PST 2019","613","","Home Page verification","","Home Page verification","List of cources","List of cources",""
"passed","Sun Dec 29 12:49:15 PST 2019","Sun Dec 29 12:51:00 PST 2019","104823","","Home Page verification","","Home Page verification","URL passing","URL passing",""
